epoch,train_loss,val_loss
1,0.15339,0.08508
2,0.06084,0.04857
3,0.04703,0.04345
4,0.04356,0.04283
5,0.04189,0.04065
6,0.04072,0.04022
7,0.04003,0.03988
8,0.03954,0.03882
9,0.03897,0.03934
10,0.03858,0.03850
11,0.03839,0.03821
12,0.03790,0.03753
13,0.03755,0.03897
14,0.03777,0.03687
15,0.03750,0.03681
16,0.03709,0.03608
17,0.03692,0.03601
18,0.03683,0.03622
19,0.03660,0.03617
20,0.03629,0.03694
21,0.03639,0.03599
22,0.03622,0.03615
23,0.03573,0.03539
24,0.03601,0.03615
25,0.03599,0.03556
26,0.03558,0.03611
27,0.03515,0.03530
28,0.03490,0.03513
29,0.03486,0.03531
30,0.03481,0.03500
31,0.03548,0.03450
32,0.03496,0.03511
33,0.03484,0.03523
34,0.03450,0.03437
35,0.03479,0.03447
36,0.03432,0.03446
37,0.03448,0.03521
38,0.03422,0.03524
39,0.03410,0.03414
40,0.03445,0.03386
41,0.03404,0.03385
42,0.03388,0.03355
43,0.03397,0.03399
44,0.03399,0.03314
45,0.03373,0.03386
46,0.03352,0.03348
47,0.03347,0.03406
48,0.03348,0.03352
49,0.03335,0.03398
50,0.03353,0.03359
51,0.03329,0.03385
52,0.03325,0.03298
53,0.03315,0.03384
54,0.03327,0.03338
55,0.03314,0.03380
56,0.03297,0.03389
57,0.03311,0.03318
58,0.03281,0.03321
59,0.03294,0.03270
60,0.03306,0.03316
61,0.03257,0.03239
62,0.03239,0.03294
63,0.03286,0.03420
64,0.03276,0.03292
65,0.03260,0.03247
66,0.03252,0.03254
67,0.03257,0.03213
68,0.03240,0.03207
69,0.03232,0.03265
70,0.03196,0.03237
71,0.03225,0.03305
72,0.03238,0.03274
73,0.03241,0.03201
74,0.03195,0.03178
75,0.03182,0.03249
76,0.03218,0.03197
77,0.03225,0.03215
78,0.03174,0.03198
79,0.03192,0.03166
80,0.03155,0.03232
81,0.03153,0.03156
82,0.03194,0.03176
83,0.03198,0.03270
84,0.03160,0.03148
85,0.03182,0.03199
86,0.03191,0.03150
87,0.03173,0.03153
88,0.03161,0.03150
89,0.03139,0.03236
90,0.03161,0.03199
91,0.03118,0.03191
92,0.03154,0.03192
93,0.03162,0.03123
94,0.03116,0.03188
95,0.03138,0.03159
96,0.03145,0.03163
97,0.03157,0.03157
98,0.03121,0.03087
99,0.03131,0.03112
100,0.03144,0.03133
101,0.03123,0.03067
102,0.03117,0.03088
103,0.03127,0.03152
104,0.03118,0.03115
105,0.03126,0.03135
106,0.03098,0.03150
107,0.03111,0.03106
108,0.03104,0.03119
109,0.03093,0.03132
110,0.03097,0.03114
111,0.03099,0.03123
